DE,FE
-0.093237764,-0.029174545
0.187287705,-0.186347273
0.217663074,-0.34126
0.070171976,-0.160870909
0.10038491,0.179978182
0.156587465,0.30284
-0.011208024,0.335096364
-0.13205976,0.107658182
-0.127511577,-0.028147273
-0.157886946,0.160665455
-0.1507398,0.243874545
-0.040446347,0.144229091
0.135308463,0.064101818
-0.035085988,-0.076634545
-0.25648507,0.065129091
-0.038821996,0.174430909
0.065786228,-0.151625455
-0.186150659,-0.063690909
-0.157886946,0.055678182
0.216688463,0.066772727
0.267855529,0.088550909
0.119877126,-0.146489091
0.124262874,-0.172787273
0.022253613,-0.041707273
-0.195247026,0.078278182
-0.086740359,0.025476364
0.109643713,-0.043556364
-0.071309022,0.113616364
-0.140181517,0.319276364
0.109968583,0.313112727
0.22481022,0.092454545
-0.02566475,-0.048898182
-0.116953293,-0.072525455
-0.072608503,0.054650909
-0.216038723,0.198263636
-0.171693932,0.024038182
-0.059776128,-0.174225455
0.012832375,-0.050541818
0.090151497,-0.062252727
0.046781317,-0.102316364
0.033786507,0.048692727
-0.020304391,-0.084852727
-0.190861277,-0.078894545
0.359793812,0.132312727
0.766044072,-0.068416364
0.194272415,-0.163130909
-0.032974331,0.064101818
-0.102334132,0.175458182
-0.284586347,0.332425455
-0.05636499,0.28702
-0.087877405,-0.08588
-0.666958643,0.00904
-0.111592934,0.469052727
0.937575569,0.503569091
0.086090619,0.240381818
-0.710166387,0.04294
0.266068743,-0.288458182
0.512807705,-0.439878182
-0.570797046,-0.290101818
-0.569172695,-0.155734545
0.24446487,-0.057732727
0.124587745,0.067594545
0.161785389,0.381734545
0.646166946,0.234218182
0.183226826,-0.053418182
-0.141643433,-0.084441818
0.449620439,-0.068210909
0.25047497,0.037392727
-0.654451138,-0.235861818
-0.313824671,-0.286814545
0.480320679,-0.065950909
0.021766307,0.327289091
-0.488767305,0.544249091
0.03102511,0.206481818
0.267855529,-0.021778182
-0.182739521,-0.115670909
-0.318210419,0.21018
-0.083978962,0.392212727
0.010233413,0.037187273
-0.035898164,-0.209152727
0.067897884,-0.257229091
0.123613134,-0.104370909
0.205967745,0.086496364
0.080242954,0.034927273
-0.185988224,0.054856364
0.054740639,0.320714545
0.278251377,0.268323636
0.127024271,0.087523636
-0.017055689,-0.037187273
0.074070419,-0.103138182
-0.026476926,-0.010272727
-0.182252216,-0.090810909
-0.039959042,-0.041912727
-0.126536966,-0.037187273
-0.215551417,-0.01808
0.05636499,0.402485455
0.08803984,0.595201818
-0.132547066,0.141969091
0.056852295,-0.448712727
0.2501501,-0.396116364
-0.061725349,-0.1243
-0.30683996,-0.088961818
-0.015593772,-0.185525455
0.162110259,-0.066772727
-0.111917804,0.229903636
-0.023553094,0.20114
0.223835609,0.222918182
0.121014172,0.129436364
-0.051167066,-0.046021818
-0.121339042,0.189634545
-0.071309022,0.277569091
0.019492216,-0.019518182
-0.088689581,-0.233807273
-0.223510739,-0.066772727
-0.089664192,0.136832727
-0.114679202,0.12656
-0.25680994,0.004725455
-0.329905749,-0.118136364
0.0873901,0.072525455
0.837028224,0.147310909
0.617578363,-0.032050909
0.048405669,0.064512727
-0.015106467,0.11978
-0.413884711,-0.00226
-0.537660279,0.035954545
0.426392216,-0.162514545
-0.051004631,-0.381529091
-1.005473453,-0.008218182
0.777414531,0.567670909
1.322546826,0.579792727
-0.815099481,0.2034
-0.735993573,0.083414545
0.911910818,-0.292772727
0.08170487,-0.475421818
-1.15767517,-0.369407273
0.01835517,-0.079510909
0.601497285,0.467614545
-0.341276208,0.253325455
0.08803984,0.022805455
0.818835489,0.234629091
-0.165846267,0.160870909
-0.299205509,-0.238943636
0.785698723,-0.231341818
0.081217565,0.008218182
-0.88283493,-0.168883636
0.095674291,-0.218398182
0.66338507,0.026709091
-0.258434291,0.393034545
-0.445397126,0.321741818
0.255023154,0.235450909
0.238779641,0.252503636
-0.114191896,-0.036776364
-0.044669661,0.285581818
-0.061400479,0.453438182
-0.126049661,0.200112727
-0.001461916,-0.138270909
-0.010883154,-0.392623636
0.134983593,-0.093892727
0.235530938,-0.071292727
-0.060588303,-0.225589091
-0.09372507,0.028763636
0.316586068,0.268118182
0.2561602,0.068005455
-0.243327824,-0.0904
-0.155937725,-0.152447273
0.11272998,0.007601818
-0.11841521,0.019518182
-0.181602475,-0.138681818
0.144242395,0.280856364
0.017705429,0.080949091
-0.145866747,-0.02034
0.158211816,0.468641818
0.091450978,0.36386
-0.292220798,0.086907273
-0.22578483,-0.208741818
0.268992575,-0.279212727
0.183876567,-0.032461818
-0.43191501,-0.112589091
-0.236180679,-0.133134545
0.243977565,0.147516364
-0.008933932,-0.061430909
-0.208404271,-0.085674545
0.08803984,0.166212727
0.142618044,0.091632727
-0.080730259,0.206687273
0.007147146,0.153474545
0.202231737,0.095947273
0.047268623,0.087112727
-0.095511856,-0.185730909
0.059613693,-0.156350909
0.001786786,0.363243636
-0.202069301,0.285170909
-0.053441158,-0.137038182
0.273703194,0.179567273
0.186800399,0.075196364
-0.036547904,-0.143201818
-0.005197924,0.048692727
-0.108181796,-0.043761818
-0.196871377,-0.204838182
-0.129948104,-0.227438182
-0.147815968,-0.184909091
-0.029888064,-0.252709091
0.265906307,-0.050130909
0.343712735,0.32318
0.281987385,0.320509091
-0.038821996,0.358107273
-0.162110259,0.11978
0.116628423,-0.206276364
0.104608224,0.173198182
-0.143917525,0.102316364
-0.119877126,-0.203810909
0.228708663,0.265036364
0.189724232,0.336945455
-0.114354331,-0.022805455
-0.313987106,0.0565
-0.309926228,-0.074990909
-0.28117521,-0.380707273
-0.015918643,-0.04068
0.326007305,0.196209091
0.020791697,-0.0226
-0.00665984,0.357285455
0.337377764,0.388925455
0.261358124,-0.068416364
-0.024365269,-0.149776364
-0.088364711,-0.362010909
-0.008609062,-0.033283636
0.038984431,0.437001818
0.179815689,0.147516364
0.342738124,0.1808
0.134171417,0.323796364
-0.222860998,-0.017052727
-0.061887784,0.053623636
0.057826906,-0.113205455
-0.307489701,-0.181621818
-0.456117844,0.196825455
-0.128323752,-0.166623636
0.17510507,-0.18758
0.104608224,0.151830909
0.051654371,-0.077661818
-0.010720719,-0.065745455
-0.198983034,0.000205455
0.099247864,-0.303867273
0.283124431,0.030407273
-0.025502315,0.32996
-0.123613134,0.121012727
0.159186427,0.27346
0.335428543,0.081770909
-0.032811896,-0.2825
-0.260383513,-0.149981818
-0.163247305,0.092043636
-0.103308743,0.148749091
-0.083654092,0.278596364
0.015756208,0.484667273
-0.005522794,0.337150909
-0.123125828,0.1695
0.097948383,-0.044378182
0.141156128,-0.315783636
-0.070984152,-0.243874545
-0.190373972,-0.201550909
-0.034436248,-0.163541818
0.173480719,-0.00904
0.152689022,0.049925455
0.018030299,0.267501818
-0.059126387,0.315167273
0.071309022,-0.099645455
0.151714411,-0.199701818
0.008446627,-0.048898182
-0.201094691,-0.028558182
0.008446627,0.195592727
0.211003234,0.113
0.400402595,0.056089091
0.161460519,0.279007273
-0.832967345,0.204838182
-0.561050938,-0.032667273
0.349235529,-0.178129091
0.160485908,-0.123067273
-0.029725629,-0.260721818
0.199470339,0.010478182
-0.020954132,0.121834545
0.283124431,-0.027736364
0.598411018,0.414607273
-0.741029062,-0.048487273
-0.916459002,-0.555138182
0.932052774,-0.110945455
0.861555928,0.361805455
-0.703993852,0.573218182
-0.133684112,0.528634545
0.953169341,0.43392
0.154963114,0.026092727
-0.446209301,-0.281883636
-0.042070699,-0.467409091
-0.344362475,-0.294621818
-0.513132575,-0.026092727
0.274515369,0.023421818
0.127836447,0.410498182
-0.491853573,0.232163636
0.182901956,0.185525455
