DE,FE
0.064253538,0.038625455
0.063001846,0.096769091
-0.004380923,0.127381818
-0.035881846,0.14464
-0.023990769,0.086701818
0.005215385,0.018696364
0.030249231,-0.038625455
0.007510154,-0.05424
-0.016480615,-0.043350909
-0.041931692,-0.0452
-0.031083692,-0.005958182
0.006675692,-0.001849091
0.021487385,0.032461818
0.016480615,0.100467273
-0.000625846,0.136421818
0.019609846,0.142585455
0.056743385,0.09266
0.100344,0.048898182
0.110983385,0.034105455
0.051110769,0.053623636
0.000625846,0.067183636
-0.010639385,0.077045455
0.015020308,0.098412727
0.031083692,0.123478182
0.005215385,0.19436
-0.013142769,0.24408
-0.003963692,0.244490909
0.058829538,0.192716364
0.127672615,0.099234545
0.159799385,0.051363636
0.147699692,0.03842
0.080734154,0.029585455
0.052779692,0.029790909
0.068008615,0.015409091
0.085949538,0.026914545
0.076353231,0.097385455
0.017315077,0.163747273
-0.011265231,0.200729091
-0.005841231,0.170321818
0.037133538,0.094098182
0.093876923,0.039241818
0.090539077,-0.010683636
0.054657231,-0.016436364
0.011891077,-0.012532727
0.010639385,-0.031023636
0.041097231,-0.019929091
0.051736615,0.0226
0.028163077,0.08136
-0.034838769,0.105192727
-0.053196923,0.08588
-0.025242462,0.017874545
0.011473846,-0.049925455
0.040888615,-0.084236364
0.025451077,-0.094509091
0.000625846,-0.059376364
-0.016480615,-0.063690909
0.005215385,-0.087934545
0.037550769,-0.062869091
0.014185846,-0.006369091
-0.028997538,0.073141818
-0.070512,0.122656364
-0.060915692,0.098412727
-0.005006769,0.036776364
0.036924923,-0.023832727
0.051528,-0.050336364
0.016689231,-0.034927273
-0.008136,-0.057321818
0.002086154,-0.090194545
0.020444308,-0.095947273
0.035047385,-0.07232
-0.000417231,0.004725455
-0.042974769,0.0565
-0.039011077,0.064923636
0.002086154,0.032461818
0.062376,-0.004109091
0.083863385,0.003903636
0.048816,0.038214545
-0.002503385,0.053829091
-0.033795692,-0.015614545
-0.034630154,-0.060814545
-0.039845538,-0.05424
-0.076353231,-0.014587273
-0.137894769,0.072114545
-0.175654154,0.078072727
-0.148116923,0.048898182
-0.077813538,-0.000821818
-0.012099692,-0.056089091
0.009804923,-0.040885455
-0.002086154,-0.037392727
-0.007510154,-0.057938182
0.005841231,-0.080949091
0.011473846,-0.082592727
-0.018149538,-0.039652727
-0.090747692,0.028147273
-0.152915077,0.059376364
-0.146030769,0.033078182
-0.084072,-0.018490909
-0.024408,-0.063485455
0.000834462,-0.051158182
-0.005006769,-0.016641818
-0.017523692,-0.005958182
0.013142769,-0.038625455
0.064879385,-0.05876
0.076561846,-0.05424
0.025033846,-0.008834545
-0.055491692,0.063896364
-0.088452923,0.04746
-0.045895385,0.021572727
0.023573538,-0.020750909
0.068634462,-0.025887273
0.061332923,0.037803636
0.009596308,0.041501818
-0.018775385,0.037187273
-0.006467077,-0.02486
0.010848,-0.07006
-0.003755077,-0.003081818
-0.045686769,0.064307273
-0.063419077,0.117109091
-0.032752615,0.126354545
0.041305846,0.091838182
0.110357538,0.075401818
0.134556923,0.100261818
0.120788308,0.130874545
0.099509538,0.111356364
0.103473231,0.049103636
0.113278154,-0.020750909
0.094502769,-0.022189091
0.037968,0.052596364
-0.020861538,0.112794545
-0.025242462,0.130669091
0.036507692,0.112794545
0.128924308,0.086701818
0.179826462,0.1243
0.173568,0.174430909
0.152289231,0.186347273
0.135808615,0.152652727
0.134974154,0.043350909
0.120162462,0.00904
0.071763692,0.034105455
0.002086154,0.054856364
-0.051528,0.087318182
-0.022530462,0.030407273
0.051528,-0.018696364
0.101178462,-0.021572727
0.116407385,0.010889091
0.103473231,0.064718182
0.103264615,0.064307273
0.110983385,0.03164
0.097840615,-0.001438182
0.046104,0.033283636
-0.051528,0.080127273
-0.121414154,0.110123636
-0.121831385,0.09266
-0.061541538,0.014587273
0.021696,0.004930909
0.064879385,0.055267273
0.051736615,0.118752727
0.007927385,0.165185455
-0.004380923,0.113205455
0.027954462,0.021778182
0.058620923,0.009861818
0.039636923,0.027736364
-0.020027077,0.084441818
-0.046729846,0.125738182
-0.024199385,0.093276364
0.031709538,0.096358182
0.066339692,0.111561818
0.040888615,0.155734545
-0.001668923,0.189429091
-0.018149538,0.138476364
0.011473846,0.054650909
0.036507692,-0.002465455
0.009387692,0.029174545
-0.035673231,0.096358182
-0.064253538,0.150187273
-0.036090462,0.137449091
0.044017846,0.088345455
0.099718154,0.08136
0.123500308,0.087523636
0.097006154,0.136627273
0.069677538,0.134367273
0.084072,0.035132727
0.085532308,-0.034516364
0.065088,-0.056910909
-0.012516923,-0.028558182
-0.081985846,0.028763636
-0.102012923,0.02034
-0.067382769,-0.016025455
0.001043077,-0.02486
0.023990769,-0.011916364
0.021904615,0.051774545
-0.005841231,0.082798182
-0.006884308,0.04746
0.025033846,-0.003492727
0.030875077,-0.046227273
-0.008344615,-0.016025455
-0.079691077,0.036365455
-0.103264615,0.038830909
-0.063836308,-0.005547273
0.007301538,-0.056294545
0.052779692,-0.07458
0.029414769,-0.05424
-0.022530462,0.010272727
-0.051319385,0.021778182
-0.040262769,-0.019518182
-0.003546462,-0.063896364
0.007718769,-0.084030909
-0.013768615,-0.017258182
-0.051528,0.031434545
-0.065088,0.027325455
-0.017732308,0.00904
0.022530462,-0.024243636
0.033795692,-0.015409091
0.004798154,0.029585455
-0.036090462,0.031845455
-0.018775385,-0.010683636
0.019609846,-0.052801818
0.052153846,-0.062047273
0.041097231,0.004109091
-0.020652923,0.059376364
-0.055491692,0.074374545
-0.037133538,0.052390909
0.015020308,-0.008012727
0.059038154,-0.014792727
0.049024615,0.001849091
0.017523692,0.009245455
0.021696,-0.026092727
0.052571077,-0.089578182
0.075101538,-0.116903636
